               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.070089,            0.052022,            0.016617,             0.26807,             0.21066,             0.24843,             0.12736,            0.064685,            0.022083,           0.0065965,            0.070265,           0.0033038,           0.0033038
                   1,            0.048835,            0.034362,           0.0033102,             0.54095,             0.48534,              0.4102,             0.16146,            0.075365,            0.018223,           0.0065775,            0.039967,           0.0063385,           0.0063385
                   2,            0.043402,            0.030912,           0.0027108,             0.42371,             0.49972,             0.43093,             0.17547,            0.059087,            0.019357,           0.0064959,           0.0093681,           0.0090732,           0.0090732
                   3,            0.037163,            0.027633,           0.0023826,             0.75232,             0.36478,             0.47029,             0.22871,            0.056326,            0.019828,           0.0058525,             0.00865,             0.00865,             0.00865
                   4,            0.032588,            0.025531,           0.0019876,             0.72872,             0.45629,             0.53644,             0.26277,            0.056242,            0.016206,           0.0064647,             0.00865,             0.00865,             0.00865
                   5,            0.029495,            0.024404,           0.0018302,             0.74016,             0.43444,             0.54429,             0.27058,            0.048234,            0.018684,           0.0065436,              0.0082,              0.0082,              0.0082
                   6,            0.026714,            0.023136,            0.001556,             0.80487,             0.35402,             0.44239,             0.22958,            0.053398,            0.018524,            0.006684,             0.00775,             0.00775,             0.00775
                   7,            0.024341,            0.022522,           0.0013759,             0.76513,             0.39948,             0.46951,             0.24697,            0.053766,            0.019422,           0.0064338,              0.0073,              0.0073,              0.0073
                   8,            0.023247,            0.020997,           0.0013156,             0.58442,             0.52526,              0.5456,             0.27273,            0.048085,             0.01761,           0.0063751,             0.00685,             0.00685,             0.00685
                   9,            0.021625,            0.020081,           0.0011771,             0.70338,             0.39948,             0.42648,             0.24293,            0.054928,             0.02225,           0.0066499,              0.0064,              0.0064,              0.0064
                  10,            0.020218,            0.019423,            0.001104,             0.65524,             0.55332,             0.54396,             0.27332,            0.046397,            0.019187,           0.0073623,             0.00595,             0.00595,             0.00595
                  11,            0.018788,            0.018327,           0.0010315,             0.66874,             0.41084,             0.41618,             0.25268,            0.053616,            0.021304,            0.007494,              0.0055,              0.0055,              0.0055
                  12,            0.017971,            0.017872,          0.00096374,             0.78936,             0.34178,             0.44432,               0.256,            0.054181,            0.020356,           0.0070496,             0.00505,             0.00505,             0.00505
                  13,            0.016503,            0.017323,          0.00092224,             0.68346,             0.35402,             0.41017,             0.24721,            0.053133,            0.021771,           0.0073313,              0.0046,              0.0046,              0.0046
                  14,            0.015653,            0.016747,          0.00085443,             0.52422,             0.52616,             0.53847,             0.28403,            0.050982,            0.022187,           0.0072556,             0.00415,             0.00415,             0.00415
                  15,            0.014736,            0.016002,          0.00082648,             0.81219,             0.34266,             0.45278,             0.26858,            0.050884,            0.025376,            0.008085,              0.0037,              0.0037,              0.0037
                  16,            0.013635,            0.015682,          0.00070936,             0.75808,             0.35402,             0.39063,             0.22212,             0.05387,            0.024191,           0.0076591,             0.00325,             0.00325,             0.00325
                  17,            0.012883,             0.01506,          0.00069535,             0.68708,             0.37001,               0.412,             0.22055,             0.05173,            0.022039,           0.0075718,              0.0028,              0.0028,              0.0028
                  18,             0.01208,            0.015002,          0.00060446,             0.75313,             0.36538,             0.44964,             0.26206,            0.050945,            0.022951,           0.0069763,             0.00235,             0.00235,             0.00235
                  19,            0.011058,            0.013797,          0.00054822,             0.70853,             0.37675,             0.44582,             0.28424,            0.051549,            0.023975,           0.0075779,              0.0019,              0.0019,              0.0019
